minbound,shape,unit
-39.6,43,3.6
-115.2,40,3.6
0,11,3.6

IX,IY,IZ,value
0,0,0,94
0,0,1,94
0,0,2,94
0,0,3,94
0,0,4,94
0,0,5,94
0,0,6,94
0,0,7,94
0,0,8,94
0,0,9,94
0,0,10,94
0,1,0,94
0,1,1,94
0,1,2,94
0,1,3,94
0,1,4,94
0,1,5,94
0,1,6,94
0,1,7,94
0,1,8,94
0,1,9,94
0,1,10,94
0,2,0,94
0,2,1,94
0,2,2,94
0,2,3,94
0,2,4,94
0,2,5,94
0,2,6,94
0,2,7,94
0,2,8,94
0,2,9,94
0,2,10,94
0,3,0,94
0,3,1,4
0,3,2,5
0,3,3,6
0,3,4,7
0,3,5,8
0,3,6,9
0,3,7,10
0,3,8,11
0,3,9,12
0,3,10,94
0,4,0,94
0,4,1,3
0,4,2,4
0,4,3,5
0,4,4,6
0,4,5,7
0,4,6,8
0,4,7,9
0,4,8,10
0,4,9,11
0,4,10,94
0,5,0,94
0,5,1,3
0,5,2,3
0,5,3,4
0,5,4,5
0,5,5,6
0,5,6,7
0,5,7,8
0,5,8,9
0,5,9,10
0,5,10,94
0,6,0,94
0,6,1,3
0,6,2,3
0,6,3,4
0,6,4,5
0,6,5,6
0,6,6,7
0,6,7,8
0,6,8,9
0,6,9,10
0,6,10,94
0,7,0,94
0,7,1,3
0,7,2,3
0,7,3,4
0,7,4,5
0,7,5,6
0,7,6,7
0,7,7,8
0,7,8,9
0,7,9,10
0,7,10,94
0,8,0,94
0,8,1,4
0,8,2,4
0,8,3,5
0,8,4,6
0,8,5,7
0,8,6,8
0,8,7,9
0,8,8,10
0,8,9,11
0,8,10,94
0,9,0,94
0,9,1,94
0,9,2,94
0,9,3,94
0,9,4,94
0,9,5,94
0,9,6,94
0,9,7,94
0,9,8,94
0,9,9,94
0,9,10,94
0,10,0,94
0,10,1,94
0,10,2,94
0,10,3,94
0,10,4,94
0,10,5,94
0,10,6,94
0,10,7,94
0,10,8,94
0,10,9,94
0,10,10,94
0,11,0,94
0,11,1,94
0,11,2,94
0,11,3,94
0,11,4,94
0,11,5,94
0,11,6,94
0,11,7,94
0,11,8,94
0,11,9,94
0,11,10,94
0,12,0,94
0,12,1,94
0,12,2,94
0,12,3,94
0,12,4,94
0,12,5,94
0,12,6,94
0,12,7,94
0,12,8,94
0,12,9,94
0,12,10,94
0,13,0,94
0,13,1,94
0,13,2,94
0,13,3,94
0,13,4,94
0,13,5,94
0,13,6,94
0,13,7,94
0,13,8,94
0,13,9,94
0,13,10,94
0,14,0,94
0,14,1,94
0,14,2,94
0,14,3,94
0,14,4,94
0,14,5,94
0,14,6,94
0,14,7,94
0,14,8,94
0,14,9,94
0,14,10,94
0,15,0,94
0,15,1,94
0,15,2,94
0,15,3,94
0,15,4,94
0,15,5,94
0,15,6,94
0,15,7,94
0,15,8,94
0,15,9,94
0,15,10,94
0,16,0,94
0,16,1,94
0,16,2,94
0,16,3,94
0,16,4,94
0,16,5,94
0,16,6,94
0,16,7,94
0,16,8,94
0,16,9,94
0,16,10,94
0,17,0,94
0,17,1,94
0,17,2,94
0,17,3,94
0,17,4,94
0,17,5,94
0,17,6,94
0,17,7,94
0,17,8,94
0,17,9,94
0,17,10,94
0,18,0,94
0,18,1,94
0,18,2,94
0,18,3,94
0,18,4,94
0,18,5,94
0,18,6,94
0,18,7,94
0,18,8,94
0,18,9,94
0,18,10,94
0,19,0,94
0,19,1,94
0,19,2,94
0,19,3,94
0,19,4,94
0,19,5,94
0,19,6,94
0,19,7,94
0,19,8,94
0,19,9,94
0,19,10,94
0,20,0,94
0,20,1,94
0,20,2,94
0,20,3,94
0,20,4,94
0,20,5,94
0,20,6,94
0,20,7,94
0,20,8,94
0,20,9,94
0,20,10,94
0,21,0,94
0,21,1,94
0,21,2,94
0,21,3,94
0,21,4,94
0,21,5,94
0,21,6,94
0,21,7,94
0,21,8,94
0,21,9,94
0,21,10,94
0,22,0,94
0,22,1,94
0,22,2,94
0,22,3,94
0,22,4,94
0,22,5,94
0,22,6,94
0,22,7,94
0,22,8,94
0,22,9,94
0,22,10,94
0,23,0,94
0,23,1,94
0,23,2,94
0,23,3,94
0,23,4,94
0,23,5,94
0,23,6,94
0,23,7,94
0,23,8,94
0,23,9,94
0,23,10,94
0,24,0,94
0,24,1,94
0,24,2,94
0,24,3,94
0,24,4,94
0,24,5,94
0,24,6,94
0,24,7,94
0,24,8,94
0,24,9,94
0,24,10,94
0,25,0,94
0,25,1,94
0,25,2,94
0,25,3,94
0,25,4,94
0,25,5,94
0,25,6,94
0,25,7,94
0,25,8,94
0,25,9,94
0,25,10,94
0,26,0,94
0,26,1,94
0,26,2,94
0,26,3,94
0,26,4,94
0,26,5,94
0,26,6,94
0,26,7,94
0,26,8,94
0,26,9,94
0,26,10,94
0,27,0,94
0,27,1,94
0,27,2,94
0,27,3,94
0,27,4,94
0,27,5,94
0,27,6,94
0,27,7,94
0,27,8,94
0,27,9,94
0,27,10,94
0,28,0,94
0,28,1,94
0,28,2,94
0,28,3,94
0,28,4,94
0,28,5,94
0,28,6,94
0,28,7,94
0,28,8,94
0,28,9,94
0,28,10,94
0,29,0,94
0,29,1,94
0,29,2,94
0,29,3,94
0,29,4,94
0,29,5,94
0,29,6,94
0,29,7,94
0,29,8,94
0,29,9,94
0,29,10,94
0,30,0,94
0,30,1,94
0,30,2,94
0,30,3,94
0,30,4,94
0,30,5,94
0,30,6,94
0,30,7,94
0,30,8,94
0,30,9,94
0,30,10,94
0,31,0,94
0,31,1,94
0,31,2,94
0,31,3,94
0,31,4,94
0,31,5,94
0,31,6,94
0,31,7,94
0,31,8,94
0,31,9,94
0,31,10,94
0,32,0,94
0,32,1,94
0,32,2,94
0,32,3,94
0,32,4,94
0,32,5,94
0,32,6,94
0,32,7,94
0,32,8,94
0,32,9,94
0,32,10,94
0,33,0,94
0,33,1,94
0,33,2,94
0,33,3,94
0,33,4,94
0,33,5,94
0,33,6,94
0,33,7,94
0,33,8,94
0,33,9,94
0,33,10,94
0,34,0,94
0,34,1,94
0,34,2,94
0,34,3,94
0,34,4,94
0,34,5,94
0,34,6,94
0,34,7,94
0,34,8,94
0,34,9,94
0,34,10,94
0,35,0,94
0,35,1,94
0,35,2,94
0,35,3,94
0,35,4,94
0,35,5,94
0,35,6,94
0,35,7,94
0,35,8,94
0,35,9,94
0,35,10,94
0,36,0,94
0,36,1,94
0,36,2,94
0,36,3,94
0,36,4,94
0,36,5,94
0,36,6,94
0,36,7,94
0,36,8,94
0,36,9,94
0,36,10,94
0,37,0,94
0,37,1,94
0,37,2,94
0,37,3,94
0,37,4,94
0,37,5,94
0,37,6,94
0,37,7,94
0,37,8,94
0,37,9,94
0,37,10,94
0,38,0,94
0,38,1,94
0,38,2,94
0,38,3,94
0,38,4,94
0,38,5,94
0,38,6,94
0,38,7,94
0,38,8,94
0,38,9,94
0,38,10,94
0,39,0,94
0,39,1,94
0,39,2,94
0,39,3,94
0,39,4,94
0,39,5,94
0,39,6,94
0,39,7,94
0,39,8,94
0,39,9,94
0,39,10,94
1,0,0,94
1,0,1,94
1,0,2,94
1,0,3,94
1,0,4,94
1,0,5,94
1,0,6,94
1,0,7,94
1,0,8,94
1,0,9,94
1,0,10,94
1,1,0,94
1,1,1,94
1,1,2,94
1,1,3,94
1,1,4,94
1,1,5,94
1,1,6,94
1,1,7,94
1,1,8,94
1,1,9,94
1,1,10,94
1,2,0,94
1,2,1,94
1,2,2,94
1,2,3,94
1,2,4,94
1,2,5,94
1,2,6,94
1,2,7,94
1,2,8,94
1,2,9,94
1,2,10,94
1,3,0,94
1,3,1,3
1,3,2,4
1,3,3,5
1,3,4,6
1,3,5,7
1,3,6,8
1,3,7,9
1,3,8,10
1,3,9,11
1,3,10,94
1,4,0,94
1,4,1,2
1,4,2,3
1,4,3,4
1,4,4,5
1,4,5,6
1,4,6,7
1,4,7,8
1,4,8,9
1,4,9,10
1,4,10,94
1,5,0,94
1,5,1,2
1,5,2,2
1,5,3,3
1,5,4,4
1,5,5,5
1,5,6,6
1,5,7,7
1,5,8,8
1,5,9,9
1,5,10,94
1,6,0,94
1,6,1,2
1,6,2,2
1,6,3,3
1,6,4,4
1,6,5,5
1,6,6,6
1,6,7,7
1,6,8,8
1,6,9,9
1,6,10,94
1,7,0,94
1,7,1,2
1,7,2,2
1,7,3,3
1,7,4,4
1,7,5,5
1,7,6,6
1,7,7,7
1,7,8,8
1,7,9,9
1,7,10,94
1,8,0,94
1,8,1,3
1,8,2,3
1,8,3,4
1,8,4,5
1,8,5,6
1,8,6,7
1,8,7,8
1,8,8,9
1,8,9,10
1,8,10,94
1,9,0,94
1,9,1,4
1,9,2,4
1,9,3,5
1,9,4,6
1,9,5,7
1,9,6,8
1,9,7,9
1,9,8,10
1,9,9,11
1,9,10,94
1,10,0,94
1,10,1,5
1,10,2,5
1,10,3,6
1,10,4,7
1,10,5,8
1,10,6,9
1,10,7,10
1,10,8,11
1,10,9,12
1,10,10,94
1,11,0,94
1,11,1,6
1,11,2,6
1,11,3,7
1,11,4,8
1,11,5,9
1,11,6,10
1,11,7,11
1,11,8,12
1,11,9,13
1,11,10,94
1,12,0,94
1,12,1,7
1,12,2,7
1,12,3,8
1,12,4,9
1,12,5,10
1,12,6,11
1,12,7,12
1,12,8,13
1,12,9,14
1,12,10,94
1,13,0,94
1,13,1,8
1,13,2,8
1,13,3,9
1,13,4,10
1,13,5,11
1,13,6,12
1,13,7,13
1,13,8,14
1,13,9,15
1,13,10,94
1,14,0,94
1,14,1,9
1,14,2,9
1,14,3,10
1,14,4,11
1,14,5,12
1,14,6,13
1,14,7,14
1,14,8,15
1,14,9,16
1,14,10,94
1,15,0,94
1,15,1,10
1,15,2,10
1,15,3,11
1,15,4,12
1,15,5,13
1,15,6,14
1,15,7,15
1,15,8,16
1,15,9,17
1,15,10,94
1,16,0,94
1,16,1,11
1,16,2,11
1,16,3,12
1,16,4,13
1,16,5,14
1,16,6,15
1,16,7,16
1,16,8,17
1,16,9,18
1,16,10,94
1,17,0,94
1,17,1,12
1,17,2,12
1,17,3,13
1,17,4,14
1,17,5,15
1,17,6,16
1,17,7,17
1,17,8,18
1,17,9,19
1,17,10,94
1,18,0,94
1,18,1,11
1,18,2,12
1,18,3,13
1,18,4,14
