minbound,shape,unit
-39.6,43,3.6
-115.2,40,3.6
0,11,3.6

IX,IY,IZ,value
0,0,0,65.3739
0,0,1,45.3714
0,0,2,42.4581
0,0,3,40.816
0,0,4,39.6915
0,0,5,38.8593
0,0,6,38.2157
0,0,7,37.7022
0,0,8,37.2826
0,0,9,36.9327
0,0,10,36.6359
0,1,0,45.7067
0,1,1,44.0832
0,1,2,42.1078
0,1,3,40.6733
0,1,4,39.6185
0,1,5,38.8144
0,1,6,38.183
0,1,7,37.6747
0,1,8,37.257
0,1,9,36.9075
0,1,10,36.6101
0,2,0,42.8153
0,2,1,42.307
0,2,2,41.2667
0,2,3,40.236
0,2,4,39.3647
0,2,5,38.6528
0,2,6,38.0713
0,2,7,37.5918
0,2,8,37.1913
0,2,9,36.8523
0,2,10,36.5616
0,3,0,41.3635
0,3,1,41.0786
0,3,2,40.4301
0,3,3,39.6974
0,3,4,39.0121
0,3,5,38.4126
0,3,6,37.9001
0,3,7,37.4639
0,3,8,37.0913
0,3,9,36.7707
0,3,10,36.4924
0,4,0,40.46
0,4,1,40.2354
0,4,2,39.7403
0,4,3,39.1788
0,4,4,38.6335
0,4,5,38.1353
0,4,6,37.6929
0,4,7,37.3049
0,4,8,36.9655
0,4,9,36.668
0,4,10,36.406
0,5,0,39.847
0,5,1,39.6343
0,5,2,39.1953
0,5,3,38.7238
0,5,4,38.2713
0,5,5,37.8519
0,5,6,37.4708
0,5,7,37.1285
0,5,8,36.8228
0,5,9,36.5502
0,5,10,36.3064
0,6,0,39.4107
0,6,1,39.1918
0,6,2,38.7657
0,6,3,38.3382
0,6,4,37.9432
0,6,5,37.5805
0,6,6,37.2484
0,6,7,36.9459
0,6,8,36.6714
0,6,9,36.4228
0,6,10,36.1976
0,7,0,39.0908
0,7,1,38.8576
0,7,2,38.424
0,7,3,38.0146
0,7,4,37.6537
0,7,5,37.3298
0,7,6,37.0348
0,7,7,36.7649
0,7,8,36.5175
0,7,9,36.291
0,7,10,36.0834
0,8,0,38.8517
0,8,1,38.6002
0,8,2,38.1486
0,8,3,37.7427
0,8,4,37.4006
0,8,5,37.1025
0,8,6,36.8347
0,8,7,36.5904
0,8,8,36.3657
0,8,9,36.1584
0,8,10,35.9668
0,9,0,38.6709
0,9,1,38.399
0,9,2,37.9237
0,9,3,37.5129
0,9,4,37.1798
0,9,5,36.8981
0,9,6,36.6499
0,9,7,36.4251
0,9,8,36.2187
0,9,9,36.0277
0,9,10,35.8502
0,10,0,38.5338
0,10,1,38.2398
0,10,2,37.7378
0,10,3,37.3171
0,10,4,36.9867
0,10,5,36.715
0,10,6,36.4803
0,10,7,36.2703
0,10,8,36.0784
0,10,9,35.9008
0,10,10,35.7354
0,11,0,38.4302
0,11,1,38.113
0,11,2,37.5825
0,11,3,37.1489
0,11,4,36.8172
0,11,5,36.5509
0,11,6,36.3253
0,11,7,36.1262
0,11,8,35.9455
0,11,9,35.7789
0,11,10,35.6235
0,12,0,38.3532
0,12,1,38.0117
0,12,2,37.4513
0,12,3,37.0032
0,12,4,36.6675
0,12,5,36.4035
0,12,6,36.1838
0,12,7,35.9924
0,12,8,35.8203
0,12,9,35.6624
0,12,10,35.5154
0,13,0,38.2978
0,13,1,37.9308
