minbound,shape,unit
-45,18,9
-117,17,9
0,5,9

IX,IY,IZ,value
0,0,0,47.6429
0,0,1,41.2588
0,0,2,38.609
0,0,3,37.2743
0,0,4,36.4638
0,1,0,44.324
0,1,1,40.6311
0,1,2,38.4487
0,1,3,37.1882
0,1,4,36.3888
0,2,0,43.0867
0,2,1,39.1849
0,2,2,37.8212
0,2,3,36.8747
0,2,4,36.1941
0,3,0,44.5122
0,3,1,38.2806
0,3,2,37.1933
0,3,3,36.4818
0,3,4,35.9319
0,4,0,43.7125
0,4,1,37.7258
0,4,2,36.6956
0,4,3,36.1066
0,4,4,35.6526
0,5,0,48.6124
0,5,1,37.3552
0,5,2,36.3136
0,5,3,35.7796
0,5,4,35.3849
0,6,0,46.2764
0,6,1,37.0878
0,6,2,36.0148
0,6,3,35.5011
0,6,4,35.1395
0,7,0,45.1926
0,7,1,36.8837
0,7,2,35.775
0,7,3,35.2631
0,7,4,34.9171
0,8,0,45.8542
0,8,1,36.7225
0,8,2,35.5775
0,8,3,35.056
0,8,4,34.7139
0,9,0,42.636
0,9,1,36.5942
0,9,2,35.4091
0,9,3,34.8683
0,9,4,34.5226
0,10,0,42.5108
0,10,1,36.4906
0,10,2,35.2483
0,10,3,34.6824
0,10,4,34.3325
0,11,0,41.2935
0,11,1,36.3223
0,11,2,35.0331
0,11,3,34.4697
0,11,4,34.1304
0,12,0,36.928
0,12,1,35.5529
0,12,2,34.6664
0,12,3,34.2042
0,12,4,33.9065
0,13,0,34.8067
0,13,1,34.575
0,13,2,34.1995
0,13,3,33.8965
0,13,4,33.6634
0,14,0,34.0148
0,14,1,33.9393
0,14,2,33.77
0,14,3,33.5849
0,14,4,33.4134
0,15,0,33.539
0,15,1,33.5036
0,15,2,33.4127
0,15,3,33.2946
0,15,4,33.1689
0,16,0,33.19
0,16,1,33.1692
0,16,2,33.1123
0,16,3,33.031
0,16,4,32.936
1,0,0,48.0566
1,0,1,41.5045
1,0,2,38.9413
1,0,3,37.5894
1,0,4,36.7448
1,1,0,42.7254
1,1,1,40.761
1,1,2,38.7476
1,1,3,37.4892
1,1,4,36.6634
1,2,0,39.8126
1,2,1,39.1636
1,2,2,38.069
1,2,3,37.1483
1,2,4,36.4539
1,3,0,38.5815
1,3,1,38.1177
1,3,2,37.3847
1,3,3,36.7234
1,3,4,36.1729
1,4,0,37.9217
1,4,1,37.4612
1,4,2,36.8403
1,4,3,36.3193
1,4,4,35.8754
1,5,0,37.5298
1,5,1,37.0272
1,5,2,36.4256
1,5,3,35.9702
1,5,4,35.5927
1,6,0,37.2866
1,6,1,36.7268
1,6,2,36.1078
1,6,3,35.6775
1,6,4,35.3367
1,7,0,37.1392
1,7,1,36.5147
1,7,2,35.8615
1,7,3,35.4333
1,7,4,35.1087
1,8,0,37.0658
1,8,1,36.3709
1,8,2,35.6715
1,8,3,35.2284
1,8,4,34.9049
1,9,0,37.0735
1,9,1,36.2975
1,9,2,35.53
1,9,3,35.0526
1,9,4,34.7179
1,10,0,37.2544
1,10,1,36.3361
1,10,2,35.4263
1,10,3,34.8886
1,10,4,34.5359
1,11,0,38.6386
1,11,1,36.5517
1,11,2,35.2967
1,11,3,34.7012
1,11,4,34.3422
1,12,0,38.146
1,12,1,36.0821
1,12,2,34.9787
1,12,3,34.4493
1,12,4,34.1226
1,13,0,35.2658
1,13,1,34.9573
1,13,2,34.4894
1,13,3,34.1368
1,13,4,33.8775
1,14,0,34.3165
1,14,1,34.2241
1,14,2,34.0229
1,14,3,33.8111
1,14,4,33.6212
1,15,0,33.7833
1,15,1,33.7424
1,15,2,33.6385
1,15,3,33.5065
1,15,4,33.3689
1,16,0,33.4069
1,16,1,33.3837
1,16,2,33.3206
1,16,3,33.2314
1,16,4,33.1285
2,0,0,48.2367
2,0,1,41.6184
2,0,2,39.1354
