minbound,shape,unit
-39.6,43,3.6
-115.2,40,3.6
0,11,3.6

IX,IY,IZ,value
0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,0,5,0
0,0,6,0
0,0,7,0
0,0,8,0
0,0,9,0
0,0,10,0
0,1,0,0
0,1,1,0
0,1,2,0
0,1,3,0
0,1,4,0
0,1,5,0
0,1,6,0
0,1,7,0
0,1,8,0
0,1,9,0
0,1,10,0
0,2,0,0
0,2,1,0
0,2,2,0
0,2,3,0
0,2,4,0
0,2,5,0
0,2,6,0
0,2,7,0
0,2,8,0
0,2,9,0
0,2,10,0
0,3,0,0
0,3,1,0.0607476
0,3,2,0.121495
0,3,3,0.164302
0,3,4,0.189167
0,3,5,0.214033
0,3,6,0.219698
0,3,7,0.225364
0,3,8,0.182557
0,3,9,0.0912787
0,3,10,0
0,4,0,0
0,4,1,0.121495
0,4,2,0.24299
0,4,3,0.328603
0,4,4,0.378334
0,4,5,0.428065
0,4,6,0.439397
0,4,7,0.450728
0,4,8,0.365115
0,4,9,0.182557
0,4,10,0
0,5,0,0
0,5,1,0.157062
0,5,2,0.314125
0,5,3,0.422007
0,5,4,0.480708
0,5,5,0.53941
0,5,6,0.552
0,5,7,0.56459
0,5,8,0.456708
0,5,9,0.228354
0,5,10,0
0,6,0,0
0,6,1,0.167449
0,6,2,0.334898
0,6,3,0.444512
0,6,4,0.496289
0,6,5,0.548066
0,6,6,0.557508
0,6,7,0.566951
0,6,8,0.457338
0,6,9,0.228669
0,6,10,0
0,7,0,0
0,7,1,0.177836
0,7,2,0.355672
0,7,3,0.467017
0,7,4,0.511869
0,7,5,0.556721
0,7,6,0.563016
0,7,7,0.569311
0,7,8,0.457967
0,7,9,0.228984
0,7,10,0
0,8,0,0
0,8,1,0.189167
0,8,2,0.378334
0,8,3,0.49078
0,8,4,0.526505
0,8,5,0.56223
0,8,6,0.56758
0,8,7,0.572931
0,8,8,0.460485
0,8,9,0.230243
0,8,10,0
0,9,0,0
0,9,1,0
0,9,2,0
0,9,3,0
0,9,4,0
0,9,5,0
0,9,6,0
0,9,7,0
0,9,8,0
0,9,9,0
0,9,10,0
0,10,0,0
0,10,1,0
0,10,2,0
0,10,3,0
0,10,4,0
0,10,5,0
0,10,6,0
0,10,7,0
0,10,8,0
0,10,9,0
0,10,10,0
0,11,0,0
0,11,1,0
0,11,2,0
0,11,3,0
0,11,4,0
0,11,5,0
0,11,6,0
0,11,7,0
0,11,8,0
0,11,9,0
0,11,10,0
0,12,0,0
0,12,1,0
0,12,2,0
0,12,3,0
0,12,4,0
0,12,5,0
0,12,6,0
0,12,7,0
0,12,8,0
0,12,9,0
0,12,10,0
0,13,0,0
0,13,1,0
0,13,2,0
0,13,3,0
0,13,4,0
0,13,5,0
0,13,6,0
0,13,7,0
0,13,8,0
0,13,9,0
0,13,10,0
0,14,0,0
0,14,1,0
0,14,2,0
0,14,3,0
0,14,4,0
0,14,5,0
0,14,6,0
0,14,7,0
0,14,8,0
0,14,9,0
0,14,10,0
0,15,0,0
0,15,1,0
0,15,2,0
0,15,3,0
0,15,4,0
0,15,5,0
0,15,6,0
0,15,7,0
0,15,8,0
0,15,9,0
0,15,10,0
0,16,0,0
0,16,1,0
0,16,2,0
0,16,3,0
0,16,4,0
0,16,5,0
0,16,6,0
0,16,7,0
0,16,8,0
0,16,9,0
0,16,10,0
0,17,0,0
0,17,1,0
0,17,2,0
0,17,3,0
0,17,4,0
0,17,5,0
0,17,6,0
0,17,7,0
0,17,8,0
0,17,9,0
0,17,10,0
0,18,0,0
0,18,1,0
0,18,2,0
0,18,3,0
0,18,4,0
0,18,5,0
0,18,6,0
0,18,7,0
0,18,8,0
0,18,9,0
0,18,10,0
0,19,0,0
0,19,1,0
0,19,2,0
0,19,3,0
0,19,4,0
0,19,5,0
0,19,6,0
0,19,7,0
0,19,8,0
0,19,9,0
0,19,10,0
0,20,0,0
0,20,1,0
0,20,2,0
0,20,3,0
0,20,4,0
0,20,5,0
0,20,6,0
0,20,7,0
0,20,8,0
0,20,9,0
0,20,10,0
0,21,0,0
0,21,1,0
0,21,2,0
0,21,3,0
0,21,4,0
0,21,5,0
0,21,6,0
0,21,7,0
0,21,8,0
0,21,9,0
0,21,10,0
0,22,0,0
0,22,1,0
0,22,2,0
0,22,3,0
0,22,4,0
0,22,5,0
0,22,6,0
0,22,7,0
0,22,8,0
0,22,9,0
0,22,10,0
0,23,0,0
0,23,1,0
0,23,2,0
0,23,3,0
0,23,4,0
0,23,5,0
0,23,6,0
0,23,7,0
0,23,8,0
0,23,9,0
0,23,10,0
0,24,0,0
0,24,1,0
0,24,2,0
0,24,3,0
0,24,4,0
0,24,5,0
0,24,6,0
0,24,7,0
0,24,8,0
0,24,9,0
0,24,10,0
0,25,0,0
0,25,1,0
0,25,2,0
0,25,3,0
0,25,4,0
0,25,5,0
0,25,6,0
0,25,7,0
0,25,8,0
0,25,9,0
0,25,10,0
0,26,0,0
0,26,1,0
0,26,2,0
0,26,3,0
0,26,4,0
0,26,5,0
0,26,6,0
0,26,7,0
0,26,8,0
0,26,9,0
0,26,10,0
0,27,0,0
0,27,1,0
0,27,2,0
0,27,3,0
0,27,4,0
0,27,5,0
0,27,6,0
0,27,7,0
0,27,8,0
0,27,9,0
0,27,10,0
0,28,0,0
0,28,1,0
0,28,2,0
0,28,3,0
0,28,4,0
0,28,5,0
0,28,6,0
0,28,7,0
0,28,8,0
0,28,9,0
0,28,10,0
0,29,0,0
0,29,1,0
0,29,2,0
0,29,3,0
0,29,4,0
0,29,5,0
0,29,6,0
0,29,7,0
0,29,8,0
0,29,9,0
0,29,10,0
0,30,0,0
0,30,1,0
0,30,2,0
0,30,3,0
0,30,4,0
0,30,5,0
0,30,6,0
0,30,7,0
0,30,8,0
0,30,9,0
0,30,10,0
0,31,0,0
0,31,1,0
0,31,2,0
0,31,3,0
0,31,4,0
0,31,5,0
0,31,6,0
0,31,7,0
0,31,8,0
0,31,9,0
0,31,10,0
0,32,0,0
0,32,1,0
0,32,2,0
0,32,3,0
0,32,4,0
0,32,5,0
0,32,6,0
0,32,7,0
0,32,8,0
0,32,9,0
0,32,10,0
0,33,0,0
0,33,1,0
0,33,2,0
0,33,3,0
0,33,4,0
0,33,5,0
0,33,6,0
0,33,7,0
0,33,8,0
0,33,9,0
0,33,10,0
0,34,0,0
0,34,1,0
0,34,2,0
0,34,3,0
0,34,4,0
0,34,5,0
0,34,6,0
0,34,7,0
0,34,8,0
0,34,9,0
0,34,10,0
0,35,0,0
0,35,1,0
0,35,2,0
0,35,3,0
0,35,4,0
0,35,5,0
0,35,6,0
0,35,7,0
0,35,8,0
0,35,9,0
0,35,10,0
0,36,0,0
0,36,1,0
0,36,2,0
0,36,3,0
0,36,4,0
0,36,5,0
0,36,6,0
0,36,7,0
0,36,8,0
0,36,9,0
0,36,10,0
0,37,0,0
0,37,1,0
0,37,2,0
0,37,3,0
0,37,4,0
0,37,5,0
0,37,6,0
0,37,7,0
0,37,8,0
0,37,9,0
0,37,10,0
0,38,0,0
0,38,1,0
0,38,2,0
0,38,3,0
0,38,4,0
0,38,5,0
0,38,6,0
0,38,7,0
0,38,8,0
0,38,9,0
0,38,10,0
0,39,0,0
0,39,1,0
0,39,2,0
0,39,3,0
0,39,4,0
0,39,5,0
0,39,6,0
0,39,7,0
0,39,8,0
0,39,9,0
0,39,10,0
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,0,5,0
1,0,6,0
1,0,7,0
1,0,8,0
1,0,9,0
1,0,10,0
1,1,0,0
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,1,8,0
1,1,9,0
1,1,10,0
1,2,0,0
1,2,1,0
1,2,2,0
1,2,3,0
1,2,4,0
1,2,5,0
1,2,6,0
1,2,7,0
1,2,8,0
1,2,9,0
1,2,10,0
1,3,0,0
1,3,1,0.101246
1,3,2,0.202492
1,3,3,0.273836
1,3,4,0.315279
1,3,5,0.356721
1,3,6,0.366164
1,3,7,0.375607
1,3,8,0.304262
1,3,9,0.152131
1,3,10,0
1,4,0,0
1,4,1,0.202492
1,4,2,0.404984
1,4,3,0.547672
1,4,4,0.630557
1,4,5,0.713442
1,4,6,0.732328
1,4,7,0.751213
1,4,8,0.608525
1,4,9,0.304262
1,4,10,0
1,5,0,0
1,5,1,0.261771
1,5,2,0.523541
1,5,3,0.703344
1,5,4,0.80118
1,5,5,0.899016
1,5,6,0.92
1,5,7,0.940984
1,5,8,0.76118
1,5,9,0.38059
1,5,10,0
1,6,0,0
1,6,1,0.279082
1,6,2,0.558164
1,6,3,0.740853
1,6,4,0.827148
1,6,5,0.913443
1,6,6,0.92918
1,6,7,0.944918
1,6,8,0.762229
1,6,9,0.381115
1,6,10,0
1,7,0,0
1,7,1,0.296394
1,7,2,0.592787
1,7,3,0.778361
1,7,4,0.853115
1,7,5,0.927869
1,7,6,0.938361
1,7,7,0.948852
1,7,8,0.763278
1,7,9,0.381639
1,7,10,0
1,8,0,0
1,8,1,0.315279
1,8,2,0.630557
1,8,3,0.817967
1,8,4,0.877508
1,8,5,0.937049
1,8,6,0.945967
1,8,7,0.954885
1,8,8,0.767475
1,8,9,0.383738
1,8,10,0
1,9,0,0
1,9,1,0.334164
1,9,2,0.668328
1,9,3,0.857574
1,9,4,0.901902
1,9,5,0.94623
1,9,6,0.953574
1,9,7,0.960918
1,9,8,0.771672
1,9,9,0.385836
1,9,10,0
1,10,0,0
1,10,1,0.345442
1,10,2,0.690885
1,10,3,0.88118
1,10,4,0.916328
1,10,5,0.951476
1,10,6,0.958557
1,10,7,0.965639
1,10,8,0.775344
1,10,9,0.387672
1,10,10,0
1,11,0,0
1,11,1,0.349115
1,11,2,0.698229
1,11,3,0.888787
1,11,4,0.920787
1,11,5,0.952787
1,11,6,0.960918
1,11,7,0.969049
1,11,8,0.778492
1,11,9,0.389246
1,11,10,0
1,12,0,0
1,12,1,0.352787
1,12,2,0.705574
1,12,3,0.896393
1,12,4,0.925246
1,12,5,0.954098
1,12,6,0.963278
1,12,7,0.972459
1,12,8,0.781639
1,12,9,0.39082
1,12,10,0
1,13,0,0
1,13,1,0.353311
1,13,2,0.706623
1,13,3,0.897967
1,13,4,0.927344
1,13,5,0.956721
1,13,6,0.965377
1,13,7,0.974033
1,13,8,0.782688
1,13,9,0.391344
1,13,10,0
1,14,0,0
1,14,1,0.353836
1,14,2,0.707672
1,14,3,0.899541
1,14,4,0.929443
1,14,5,0.959344
1,14,6,0.967476
1,14,7,0.975607
1,14,8,0.783738
1,14,9,0.391869
1,14,10,0
1,15,0,0
1,15,1,0.35541
1,15,2,0.71082
1,15,3,0.903082
1,15,4,0.932197
1,15,5,0.961312
1,15,6,0.968918
1,15,7,0.976525
1,15,8,0.784262
1,15,9,0.392131
1,15,10,0
1,16,0,0
1,16,1,0.358033
1,16,2,0.716065
1,16,3,0.90859
1,16,4,0.935606
1,16,5,0.962623
1,16,6,0.969705
1,16,7,0.976787
1,16,8,0.784262
1,16,9,0.392131
1,16,10,0
1,17,0,0
1,17,1,0.360656
1,17,2,0.721311
1,17,3,0.914098
1,17,4,0.939016
1,17,5,0.963934
1,17,6,0.970492
1,17,7,0.977049
1,17,8,0.784262
1,17,9,0.392131
1,17,10,0
1,18,0,0
1,18,1,0.359082
1,18,2,0.718164
1,18,3,0.911737
1,18,4,0.939803
1,18,5,0.967868
1,18,6,0.972852
1,18,7,0.977836
1,18,8,0.784262
1,18,9,0.392131
1,18,10,0
1,19,0,0
1,19,1,0.357508
1,19,2,0.715016
1,19,3,0.909377
1,19,4,0.94059
1,19,5,0.971803
1,19,6,0.975213
1,19,7,0.978623
1,19,8,0.784262
1,19,9,0.392131
1,19,10,0
1,20,0,0
1,20,1,0.285377
1,20,2,0.570754
1,20,3,0.726557
1,20,4,0.752787
1,20,5,0.779016
1,20,6,0.781115
1,20,7,0.783213
1,20,8,0.62741
1,20,9,0.313705
1,20,10,0
1,21,0,0
1,21,1,0
1,21,2,0
1,21,3,0
1,21,4,0
1,21,5,0
1,21,6,0
1,21,7,0
1,21,8,0
1,21,9,0
1,21,10,0
1,22,0,0
1,22,1,0
1,22,2,0
1,22,3,0
1,22,4,0
1,22,5,0
1,22,6,0
1,22,7,0
1,22,8,0
1,22,9,0
1,22,10,0
1,23,0,0
1,23,1,0
1,23,2,0
1,23,3,0
1,23,4,0
1,23,5,0
1,23,6,0
1,23,7,0
1,23,8,0
1,23,9,0
1,23,10,0
1,24,0,0
1,24,1,0
1,24,2,0
1,24,3,0
1,24,4,0
1,24,5,0
1,24,6,0
1,24,7,0
1,24,8,0
1,24,9,0
1,24,10,0
1,25,0,0
1,25,1,0
1,25,2,0
1,25,3,0
1,25,4,0
1,25,5,0
1,25,6,0
1,25,7,0
1,25,8,0
1,25,9,0
1,25,10,0
1,26,0,0
1,26,1,0
1,26,2,0
1,26,3,0
1,26,4,0
1,26,5,0
1,26,6,0
1,26,7,0
1,26,8,0
1,26,9,0
1,26,10,0
1,27,0,0
1,27,1,0
1,27,2,0
1,27,3,0
1,27,4,0
1,27,5,0
1,27,6,0
1,27,7,0
1,27,8,0
1,27,9,0
1,27,10,0
1,28,0,0
1,28,1,0
1,28,2,0
1,28,3,0
1,28,4,0
1,28,5,0
1,28,6,0
1,28,7,0
1,28,8,0
1,28,9,0
1,28,10,0
1,29,0,0
1,29,1,0
1,29,2,0
1,29,3,0
1,29,4,0
1,29,5,0
1,29,6,0
1,29,7,0
1,29,8,0
1,29,9,0
1,29,10,0
1,30,0,0
1,30,1,0
1,30,2,0
1,30,3,0
1,30,4,0
1,30,5,0
1,30,6,0
1,30,7,0
1,30,8,0
1,30,9,0
1,30,10,0
1,31,0,0
1,31,1,0
1,31,2,0
1,31,3,0
1,31,4,0
1,31,5,0
1,31,6,0
1,31,7,0
1,31,8,0
1,31,9,0
1,31,10,0
1,32,0,0
1,32,1,0
1,32,2,0
1,32,3,0
1,32,4,0
1,32,5,0
1,32,6,0
1,32,7,0
1,32,8,0
1,32,9,0
1,32,10,0
1,33,0,0
1,33,1,0
1,33,2,0
1,33,3,0
1,33,4,0
1,33,5,0
1,33,6,0
1,33,7,0
1,33,8,0
1,33,9,0
1,33,10,0
1,34,0,0
1,34,1,0
1,34,2,0
1,34,3,0
1,34,4,0
1,34,5,0
1,34,6,0
1,34,7,0
1,34,8,0
1,34,9,0
1,34,10,0
1,35,0,0
1,35,1,0
1,35,2,0
1,35,3,0
1,35,4,0
1,35,5,0
1,35,6,0
1,35,7,0
1,35,8,0
1,35,9,0
1,35,10,0
1,36,0,0
1,36,1,0
1,36,2,0
1,36,3,0
1,36,4,0
1,36,5,0
1,36,6,0
1,36,7,0
1,36,8,0
1,36,9,0
1,36,10,0
1,37,0,0
1,37,1,0
1,37,2,0
1,37,3,0
1,37,4,0
1,37,5,0
1,37,6,0
1,37,7,0
1,37,8,0
1,37,9,0
1,37,10,0
1,38,0,0
1,38,1,0
1,38,2,0
1,38,3,0
1,38,4,0
1,38,5,0
1,38,6,0
1,38,7,0
1,38,8,0
1,38,9,0
1,38,10,0
