space_name,space_id,noise_field,dist_entrance,dist_fac,sunlight,skyview
Student Housing 1 p,0,0.4,0.55,0.87,0.8,0.6
Student Housing 4 p,1,0.4,0.55,0.87,0.8,0.6
Assisted Living,2,0.8,0.4,0.93,0.8,0.8
Starter Housing,3,0.6,0.6,0.93,0.8,0.6
Underground Parking,4,0.8,0.07,0.2,0,0
Bicycle parking,5,0,0.85,0.07,0.2,0
Vegetation/park,6,0.5,0.35,0.53,1,0
Workshops,7,0.3,0.65,0.7,0.4,0.4
Fab-Labs,8,0.2,0.5,0.6,0.5,0.4
Co-working Space,9,0.5,0.6,0.67,0.4,0.4
Start-up Offices,10,0.2,0.6,0.6,0.6,0.6
Library,11,0.9,0.7,0.57,0.4,0.4
Cinematheque,12,0.8,0.75,0.17,0,0
Café/Pub,13,0.1,0.75,0.5,0.3,0.6
Arcade,14,0.2,0.65,0.43,0.1,0.2
Living Room,15,0.4,0.6,0.5,0.5,0.6
Co-cooking,16,0.3,0.4,0.37,0.4,0.6
Restaurant,17,0.6,0.6,0.6,0.6,0.7
Community Centre,18,0.3,0.5,0.7,0.4,0.6
Shop,19,0.4,0.8,0.5,0.4,0.2
Gym,20,0.2,0.7,0.63,0.4,0.2
Coffee corner,21,0.2,0.3,0.4,0.3,0.5
