,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,1,0.1,0,0,0,0.6,0.1,0,0,0,0,0.1,0,0,0.3,0.2,0,0,0,0.9,0.9,0.1
1,0.1,1,0,0,0,0.6,0,0,0.1,0,0,0.3,0.2,0.8,0.2,0,0.3,0.2,0,0.8,0,0.6
2,0,0,1,0.4,0.2,0,0.1,0.2,0,0,0,0.1,0,0,0.1,0.1,0.1,0.2,0.6,0.3,0.1,0
3,0,0,0.4,1,0.9,0,1,0,0.1,0.8,0.2,0.2,0.2,0.6,0.2,0.2,0,0.2,0.3,0.9,0.6,0
4,0,0,0.2,0.9,1,0,0,0,0.4,0,0.2,0,0,0,0,0,0,0.2,0,0.9,0.2,0
5,0.6,0.6,0,0,0,1,0.2,0,0,0,0.1,0,0.1,0.2,0.1,0,0,0.2,0,0.2,0,0
6,0.1,0,0.1,1,0,0.2,1,0.1,0,0,0.1,0.4,0.1,0.2,0,0.1,0.1,0.1,0.5,0,0,0.4
7,0,0,0.2,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0.1,0,0.1,0.4,0,0,0,1,0.4,0,0.1,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0.8,0,0,0,0,0.4,1,0,0.3,0,0,0,0,0,0,0,0.4,0,0.8
10,0,0,0,0.2,0.2,0.1,0.1,0,0,0,1,0,0,0,0,0.2,0,0.2,0,0.2,0.2,0.2
11,0.1,0.3,0.1,0.2,0,0,0.4,0,0.1,0.3,0,1,0,0,0,0.3,0,0,0.4,0.8,0,1
12,0,0.2,0,0.2,0,0.1,0.1,0,0,0,0,0,1,0,0.2,0,0.2,0.3,0,0.1,0,0
13,0,0.8,0,0.6,0,0.2,0.2,0,0,0,0,0,0,1,0.2,0.1,0,0,0.1,0.2,0,0
14,0.3,0.2,0.1,0.2,0,0.1,0,0,0,0,0,0,0.2,0.2,1,0,0,0,0,0.1,0,0
15,0.2,0,0.1,0.2,0,0,0.1,0,0,0,0.2,0.3,0,0.1,0,1,0.2,0,0,0,0,0
16,0,0.3,0.1,0,0,0,0.1,0,0,0,0,0,0.2,0,0,0.2,1,0,0,0.6,0,0
17,0,0.2,0.2,0.2,0.2,0.2,0.1,0,0,0,0.2,0,0.3,0,0,0,0,1,0.1,0,0,0.1
18,0,0,0.6,0.3,0,0,0.5,0,0,0,0,0.4,0,0.1,0,0,0,0.1,1,0.5,0,0
19,0.9,0.8,0.3,0.9,0.9,0.2,0,0,0,0.4,0.2,0.8,0.1,0.2,0.1,0,0.6,0,0.5,1,0.3,0
20,0.9,0,0.1,0.6,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.3,1,0
21,0.1,0.6,0,0,0,0,0.4,0,0,0.8,0.2,1,0,0,0,0,0,0.1,0,0,0,1
