minbound,shape,unit
-40,77,2
-98,42,2
0,19,2

IX,IY,IZ,value
0,0,0,False
0,0,1,False
0,0,2,False
0,0,3,False
0,0,4,False
0,0,5,False
0,0,6,False
0,0,7,False
0,0,8,False
0,0,9,False
0,0,10,False
0,0,11,False
0,0,12,False
0,0,13,False
0,0,14,False
0,0,15,False
0,0,16,False
0,0,17,False
0,0,18,False
0,1,0,False
0,1,1,False
0,1,2,False
0,1,3,False
0,1,4,False
0,1,5,False
0,1,6,False
0,1,7,False
0,1,8,False
0,1,9,False
0,1,10,False
0,1,11,False
0,1,12,False
0,1,13,False
0,1,14,False
0,1,15,False
0,1,16,False
0,1,17,False
0,1,18,False
0,2,0,False
0,2,1,False
0,2,2,False
0,2,3,False
0,2,4,False
0,2,5,False
0,2,6,False
0,2,7,False
0,2,8,False
0,2,9,False
0,2,10,False
0,2,11,False
0,2,12,False
0,2,13,False
0,2,14,False
0,2,15,False
0,2,16,False
0,2,17,False
0,2,18,False
0,3,0,False
0,3,1,False
0,3,2,False
0,3,3,False
0,3,4,False
0,3,5,False
0,3,6,False
0,3,7,False
0,3,8,False
0,3,9,False
0,3,10,False
0,3,11,False
0,3,12,False
0,3,13,False
0,3,14,False
0,3,15,False
0,3,16,False
0,3,17,False
0,3,18,False
0,4,0,False
0,4,1,False
0,4,2,False
0,4,3,False
0,4,4,False
0,4,5,False
0,4,6,False
0,4,7,False
0,4,8,False
0,4,9,False
0,4,10,False
0,4,11,False
0,4,12,False
0,4,13,False
0,4,14,False
0,4,15,False
0,4,16,False
0,4,17,False
0,4,18,False
0,5,0,False
0,5,1,False
0,5,2,False
0,5,3,False
0,5,4,False
0,5,5,False
0,5,6,False
0,5,7,False
0,5,8,False
0,5,9,False
0,5,10,False
0,5,11,False
0,5,12,False
0,5,13,False
0,5,14,False
0,5,15,False
0,5,16,False
0,5,17,False
0,5,18,False
0,6,0,False
0,6,1,False
0,6,2,False
0,6,3,False
0,6,4,False
0,6,5,False
0,6,6,False
0,6,7,False
0,6,8,False
